ID,Breed,Breed Size,Sex,Age,Weight (lbs),Spay/Neuter Status,Daily Activity Level,Diet,Food Brand,Daily Walk Distance (miles),Other Pets in Household,Medications,Seizures,Hours of Sleep,Play Time (hrs),Owner Activity Level,Annual Vet Visits,Average Temperature (F),Synthetic,Healthy
1,Australian Shepherd,Medium,Male,3.0,60.0,Neutered,None,,Wellness,5.0,No,Yes,No,12.0,1.0,Active,1.0,30.0,Yes,Yes
2,Dachshund,,Female,4.0,57.0,Neutered,Very Active,Home cooked,Special,2.0,Yes,No,No,11.0,3.0,None,0.0,47.0,Yes,
3,Chihuahua,Small,Female,12.0,67.0,Neutered,Active,Home cooked,Special,1.0,Yes,No,No,10.0,1.0,Low,0.0,92.0,Yes,Yes
4,Siberian Husky,Medium,Male,13.0,35.0,None,Very Active,,Special,4.0,No,No,No,12.0,,None,1.0,75.0,Yes,Yes
5,Boxer,Medium,Male,13.0,35.0,None,Very Active,Wet food,Purina,3.0,Yes,Yes,No,9.0,1.0,None,0.0,64.0,Yes,No
6,Australian Shepherd,Medium,Female,2.0,42.0,None,Very Active,Wet food,Iams,0.0,Yes,No,No,11.0,3.0,None,2.0,85.0,Yes,Yes
7,Labrador Retriever,,Male,8.0,,None,None,Special diet,Blue Buffalo,2.0,No,No,No,8.0,1.0,Low,0.0,53.0,Yes,Yes
8,Boxer,Medium,Female,11.0,66.0,Neutered,None,Home cooked,Special,2.0,No,Yes,Yes,9.0,2.0,Low,2.0,85.0,,No
9,Australian Shepherd,Medium,Male,12.0,28.0,Neutered,Moderate,Special diet,Royal Canin,2.0,Yes,Yes,No,11.0,2.0,Moderate,0.0,65.0,Yes,No
10,Bulldog,Medium,Female,11.0,49.0,Neutered,None,Wet food,Wellness,3.0,No,Yes,No,11.0,,None,0.0,38.0,Yes,No
11,Rottweiler,Large,Male,2.0,64.0,Spayed,Very Active,Hard food,Blue Buffalo,3.0,Yes,Yes,No,11.0,2.0,Active,1.0,87.0,Yes,Yes
12,Siberian Husky,Medium,Female,,20.0,Neutered,Low,Hard food,Blue Buffalo,2.0,Yes,Yes,No,13.0,3.0,Active,1.0,78.0,Yes,No
