animal_type,breed,life_stage,weight_kg,daily_calories,protein_min_percent,fat_min_percent,special_nutritional_needs,common_health_issues,feeding_frequency,recommended_food_types,portion_size_grams,water_intake_ml
Dog,Labrador Retriever,puppy_kitten,2,240.0,28,12,joint_support; weight_management; growth_support; immune_support,obesity; hip_dysplasia,3,growth_formula; weight_management; small_breed,68.57142857142857,100
Dog,Labrador Retriever,puppy_kitten,5,600.0,28,12,joint_support; weight_management; growth_support; immune_support,obesity; hip_dysplasia,3,growth_formula; weight_management,171.42857142857142,250
Dog,Labrador Retriever,puppy_kitten,10,1200.0,28,12,joint_support; weight_management; growth_support; immune_support,obesity; hip_dysplasia,3,growth_formula; weight_management,342.85714285714283,500
Dog,Labrador Retriever,puppy_kitten,20,2400.0,28,12,joint_support; weight_management; growth_support; immune_support,obesity; hip_dysplasia,3,growth_formula; weight_management,685.7142857142857,1000
Dog,Labrador Retriever,puppy_kitten,30,3600.0,28,12,joint_support; weight_management; growth_support; immune_support,obesity; hip_dysplasia,3,growth_formula; weight_management,1028.5714285714287,1500
Dog,Labrador Retriever,puppy_kitten,40,4800.0,28,12,joint_support; weight_management; growth_support; immune_support,obesity; hip_dysplasia,3,growth_formula; weight_management; large_breed,1371.4285714285713,2000
Dog,Labrador Retriever,puppy_kitten,50,6000.0,28,12,joint_support; weight_management; growth_support; immune_support,obesity; hip_dysplasia,3,growth_formula; weight_management; large_breed,1714.2857142857142,2500
Dog,Labrador Retriever,adult,2,120.0,22,8,joint_support; weight_management; maintenance,obesity; hip_dysplasia,2,adult_maintenance; weight_management; small_breed,34.285714285714285,100
Dog,Labrador Retriever,adult,5,300.0,22,8,joint_support; weight_management; maintenance,obesity; hip_dysplasia,2,adult_maintenance; weight_management,85.71428571428571,250
Dog,Labrador Retriever,adult,10,600.0,22,8,joint_support; weight_management; maintenance,obesity; hip_dysplasia,2,adult_maintenance; weight_management,171.42857142857142,500
Dog,Labrador Retriever,adult,20,1200.0,22,8,joint_support; weight_management; maintenance,obesity; hip_dysplasia,2,adult_maintenance; weight_management,342.85714285714283,1000
