animal_type,breed,life_stage,weight_kg,daily_calories,protein_min_percent,fat_min_percent,special_nutritional_needs,common_health_issues,feeding_frequency,recommended_food_types,portion_size_grams,water_intake_ml,health_condition,protein_level,fat_level,carbohydrate_level,fiber_level,sodium_level,phosphorus_level,foods_to_avoid,special_considerations,monitoring_requirements,vet_consultation_frequency,schedule_type,feeding_times,portion_splits,morning_portion_grams,evening_portion_grams,water_availability,treat_allowance_percent,special_instructions
Dog,Labrador Retriever,puppy_kitten,2,240.0,28.0,12.0,joint_support; weight_management; growth_support; immune_support,obesity; hip_dysplasia,3.0,growth_formula; weight_management; small_breed,68.57142857142857,100.0,,,,,,,,,,,,,,,,,,,
Dog,Labrador Retriever,puppy_kitten,5,600.0,28.0,12.0,joint_support; weight_management; growth_support; immune_support,obesity; hip_dysplasia,3.0,growth_formula; weight_management,171.42857142857142,250.0,,,,,,,,,,,,,,,,,,,
Dog,Labrador Retriever,puppy_kitten,10,1200.0,28.0,12.0,joint_support; weight_management; growth_support; immune_support,obesity; hip_dysplasia,3.0,growth_formula; weight_management,342.85714285714283,500.0,,,,,,,,,,,,,,,,,,,
Dog,Labrador Retriever,puppy_kitten,20,2400.0,28.0,12.0,joint_support; weight_management; growth_support; immune_support,obesity; hip_dysplasia,3.0,growth_formula; weight_management,685.7142857142857,1000.0,,,,,,,,,,,,,,,,,,,
Dog,Labrador Retriever,puppy_kitten,30,3600.0,28.0,12.0,joint_support; weight_management; growth_support; immune_support,obesity; hip_dysplasia,3.0,growth_formula; weight_management,1028.5714285714287,1500.0,,,,,,,,,,,,,,,,,,,
Dog,Labrador Retriever,puppy_kitten,40,4800.0,28.0,12.0,joint_support; weight_management; growth_support; immune_support,obesity; hip_dysplasia,3.0,growth_formula; weight_management; large_breed,1371.4285714285713,2000.0,,,,,,,,,,,,,,,,,,,
Dog,Labrador Retriever,puppy_kitten,50,6000.0,28.0,12.0,joint_support; weight_management; growth_support; immune_support,obesity; hip_dysplasia,3.0,growth_formula; weight_management; large_breed,1714.2857142857142,2500.0,,,,,,,,,,,,,,,,,,,
Dog,Labrador Retriever,adult,2,120.0,22.0,8.0,joint_support; weight_management; maintenance,obesity; hip_dysplasia,2.0,adult_maintenance; weight_management; small_breed,34.285714285714285,100.0,,,,,,,,,,,,,,,,,,,
Dog,Labrador Retriever,adult,5,300.0,22.0,8.0,joint_support; weight_management; maintenance,obesity; hip_dysplasia,2.0,adult_maintenance; weight_management,85.71428571428571,250.0,,,,,,,,,,,,,,,,,,,
Dog,Labrador Retriever,adult,10,600.0,22.0,8.0,joint_support; weight_management; maintenance,obesity; hip_dysplasia,2.0,adult_maintenance; weight_management,171.42857142857142,500.0,,,,,,,,,,,,,,,,,,,
Dog,Labrador Retriever,adult,20,1200.0,22.0,8.0,joint_support; weight_management; maintenance,obesity; hip_dysplasia,2.0,adult_maintenance; weight_management,342.85714285714283,1000.0,,,,,,,,,,,,,,,,,,,
Dog,Labrador Retriever,adult,30,1800.0,22.0,8.0,joint_support; weight_management; maintenance,obesity; hip_dysplasia,2.0,adult_maintenance; weight_management,514.2857142857143,1500.0,,,,,,,,,,,,,,,,,,,
Dog,Labrador Retriever,adult,40,2400.0,22.0,8.0,joint_support; weight_management; maintenance,obesity; hip_dysplasia,2.0,adult_maintenance; weight_management; large_breed,685.7142857142857,2000.0,,,,,,,,,,,,,,,,,,,
Dog,Labrador Retriever,adult,50,3000.0,22.0,8.0,joint_support; weight_management; maintenance,obesity; hip_dysplasia,2.0,adult_maintenance; weight_management; large_breed,857.1428571428571,2500.0,,,,,,,,,,,,,,,,,,,
Dog,Labrador Retriever,senior,2,96.0,22.0,8.0,joint_support; weight_management; joint_support; cognitive_support,obesity; hip_dysplasia,2.0,senior_formula; weight_management; small_breed,27.428571428571427,100.0,,,,,,,,,,,,,,,,,,,
Dog,Labrador Retriever,senior,5,240.0,22.0,8.0,joint_support; weight_management; joint_support; cognitive_support,obesity; hip_dysplasia,2.0,senior_formula; weight_management,68.57142857142857,250.0,,,,,,,,,,,,,,,,,,,
Dog,Labrador Retriever,senior,10,480.0,22.0,8.0,joint_support; weight_management; joint_support; cognitive_support,obesity; hip_dysplasia,2.0,senior_formula; weight_management,137.14285714285714,500.0,,,,,,,,,,,,,,,,,,,
Dog,Labrador Retriever,senior,20,960.0,22.0,8.0,joint_support; weight_management; joint_support; cognitive_support,obesity; hip_dysplasia,2.0,senior_formula; weight_management,274.2857142857143,1000.0,,,,,,,,,,,,,,,,,,,
Dog,Labrador Retriever,senior,30,1440.0,22.0,8.0,joint_support; weight_management; joint_support; cognitive_support,obesity; hip_dysplasia,2.0,senior_formula; weight_management,411.42857142857144,1500.0,,,,,,,,,,,,,,,,,,,
